Cancer_Pair,Interaction_ID,Gene1,Gene2
BRCA_vs_LUAD,AC093110.1_PDZD2,AC093110.1,PDZD2
BRCA_vs_LUAD,AC104211.1_CD36,AC104211.1,CD36
BRCA_vs_LUAD,AC131097.2_BICDL1,AC131097.2,BICDL1
BRCA_vs_LUAD,ADH1A_CDO1,ADH1A,CDO1
BRCA_vs_LUAD,ADRB2_FGF2,ADRB2,FGF2
BRCA_vs_LUAD,AP001528.2_MYZAP,AP001528.2,MYZAP
BRCA_vs_LUAD,CDC20_NEIL3,CDC20,NEIL3
BRCA_vs_LUAD,CHRDL1_PKD1L2,CHRDL1,PKD1L2
BRCA_vs_LUAD,COL10A1_CST1,COL10A1,CST1
BRCA_vs_LUAD,CPNE7_ERCC6L,CPNE7,ERCC6L
BRCA_vs_LUAD,CST1_MMP11,CST1,MMP11
BRCA_vs_LUAD,MYZAP_NMUR1,MYZAP,NMUR1
BRCA_vs_LUAD,PDZD2_SGK2,PDZD2,SGK2
BRCA_vs_LUAD,PDZD2_TNS1,PDZD2,TNS1
BRCA_vs_HNSC,CLEC3B_FN1,CLEC3B,FN1
BRCA_vs_HNSC,FN1_SCARA5,FN1,SCARA5
BRCA_vs_HNSC,FN1_TNXB,FN1,TNXB
BRCA_vs_STAD,CCDC69_PPP1R1A,CCDC69,PPP1R1A
BRCA_vs_STAD,GLP2R_PPP1R1A,GLP2R,PPP1R1A
BRCA_vs_STAD,LRRC15_PKHD1L1,LRRC15,PKHD1L1
LUAD_vs_HNSC,B4GALNT1_CA3,B4GALNT1,CA3
LUAD_vs_HNSC,B4GALNT1_GDF10,B4GALNT1,GDF10
LUAD_vs_HNSC,GDF10_SHOX2,GDF10,SHOX2
LUAD_vs_HNSC,MMP12_ZFPM2-AS1,MMP12,ZFPM2-AS1
LUAD_vs_STAD,ABCG2_ENPP3,ABCG2,ENPP3
LUAD_vs_STAD,ABI3BP_THBS2,ABI3BP,THBS2
LUAD_vs_STAD,AC007877.1_NPC1L1,AC007877.1,NPC1L1
LUAD_vs_STAD,AC142381.1_EME1,AC142381.1,EME1
LUAD_vs_STAD,ACTN2_ADAMTSL3,ACTN2,ADAMTSL3
LUAD_vs_STAD,ADAM12_CPNE7,ADAM12,CPNE7
LUAD_vs_STAD,ADGRF4_KRT15,ADGRF4,KRT15
LUAD_vs_STAD,ADGRF4_PAX9,ADGRF4,PAX9
LUAD_vs_STAD,AKR1B10_HMGA2,AKR1B10,HMGA2
LUAD_vs_STAD,ALKAL2_ECT2,ALKAL2,ECT2
LUAD_vs_STAD,B4GALNT4_SULF1,B4GALNT4,SULF1
LUAD_vs_STAD,BCHE_SCARA5,BCHE,SCARA5
LUAD_vs_STAD,BTNL8_SLC6A4,BTNL8,SLC6A4
LUAD_vs_STAD,C10orf88B_FCRL4,C10orf88B,FCRL4
LUAD_vs_STAD,CADM3-AS1_SULF1,CADM3-AS1,SULF1
LUAD_vs_STAD,CD300LG_PLPP4,CD300LG,PLPP4
LUAD_vs_STAD,CDH19_RXRG,CDH19,RXRG
LUAD_vs_STAD,CDO1_SCARA5,CDO1,SCARA5
LUAD_vs_STAD,COX7A1_RXRG,COX7A1,RXRG
LUAD_vs_STAD,CPNE7_FCRL4,CPNE7,FCRL4
LUAD_vs_STAD,CPNE7_IGHJ3P,CPNE7,IGHJ3P
LUAD_vs_STAD,CPNE7_IGHV4-61,CPNE7,IGHV4-61
LUAD_vs_STAD,CPNE7_TNFSF11,CPNE7,TNFSF11
LUAD_vs_STAD,CRABP2_KRT15,CRABP2,KRT15
LUAD_vs_STAD,CRABP2_LYPD3,CRABP2,LYPD3
LUAD_vs_STAD,CRABP2_S100A2,CRABP2,S100A2
LUAD_vs_STAD,FCRL4_RAET1K,FCRL4,RAET1K
LUAD_vs_STAD,FCRL4_TNFSF11,FCRL4,TNFSF11
LUAD_vs_STAD,FOXF1_RXRG,FOXF1,RXRG
LUAD_vs_STAD,GAD1_SALL4,GAD1,SALL4
LUAD_vs_STAD,IGHJ3P_SKA3,IGHJ3P,SKA3
LUAD_vs_STAD,IGHJ3P_TERT,IGHJ3P,TERT
LUAD_vs_STAD,IGHJ3P_TNFSF11,IGHJ3P,TNFSF11
LUAD_vs_STAD,IGHV2-5_TNFSF11,IGHV2-5,TNFSF11
LUAD_vs_STAD,IGHV3-35_JSRP1,IGHV3-35,JSRP1
LUAD_vs_STAD,IGHV3-66_JSRP1,IGHV3-66,JSRP1
LUAD_vs_STAD,IGHV4-28_SKA3,IGHV4-28,SKA3
LUAD_vs_STAD,IGHV5-51_JSRP1,IGHV5-51,JSRP1
LUAD_vs_STAD,IGHV5-78_TNFSF11,IGHV5-78,TNFSF11
LUAD_vs_STAD,IGKV1-39_JSRP1,IGKV1-39,JSRP1
LUAD_vs_STAD,IGKV1D-12_SOSTDC1,IGKV1D-12,SOSTDC1
LUAD_vs_STAD,IGKV1D-16_JSRP1,IGKV1D-16,JSRP1
LUAD_vs_STAD,IGKV1D-16_TNFSF11,IGKV1D-16,TNFSF11
LUAD_vs_STAD,IGKV1OR2-6_JSRP1,IGKV1OR2-6,JSRP1
LUAD_vs_STAD,IGKV2OR22-4_SKA3,IGKV2OR22-4,SKA3
LUAD_vs_STAD,IGKV3-11_JSRP1,IGKV3-11,JSRP1
LUAD_vs_STAD,IGLC3_SPINK2,IGLC3,SPINK2
LUAD_vs_STAD,IGLV5-45_JSRP1,IGLV5-45,JSRP1
LUAD_vs_STAD,MSRB3_RXRG,MSRB3,RXRG
LUAD_vs_STAD,PAX9_S100A2,PAX9,S100A2
LUAD_vs_STAD,PLPP4_RXRG,PLPP4,RXRG
LUAD_vs_STAD,PLPP4_SERTM1,PLPP4,SERTM1
LUAD_vs_STAD,RAET1K_TNFSF11,RAET1K,TNFSF11
LUAD_vs_STAD,SCARA5_SULF1,SCARA5,SULF1
LUAD_vs_STAD,SCARA5_THBS2,SCARA5,THBS2
LUAD_vs_STAD,SLC5A9_SLC6A4,SLC5A9,SLC6A4
LUAD_vs_STAD,SULF1_TMEM132C,SULF1,TMEM132C
LUAD_vs_STAD,SULF1_VIT,SULF1,VIT
LUAD_vs_STAD,TERT_TNFSF11,TERT,TNFSF11
LUAD_vs_STAD,THBS2_TNXB,THBS2,TNXB
HNSC_vs_STAD,AC010789.1_EN2,AC010789.1,EN2
HNSC_vs_STAD,ADAMTS2_TNXB,ADAMTS2,TNXB
HNSC_vs_STAD,C1QL1_GRIK3,C1QL1,GRIK3
HNSC_vs_STAD,C1QL1_SCN7A,C1QL1,SCN7A
HNSC_vs_STAD,CASC9_PAEP,CASC9,PAEP
HNSC_vs_STAD,CELSR3_HOXC11,CELSR3,HOXC11
HNSC_vs_STAD,CELSR3_ZIC2,CELSR3,ZIC2
HNSC_vs_STAD,FAP_TNXB,FAP,TNXB
HNSC_vs_STAD,GRIN2D_ZIC2,GRIN2D,ZIC2
HNSC_vs_STAD,GRIN2D_ZIC5,GRIN2D,ZIC5
HNSC_vs_STAD,HMGA2_VSIG2,HMGA2,VSIG2
HNSC_vs_STAD,HOXA11_LINC02577,HOXA11,LINC02577
HNSC_vs_STAD,HOXC11_ZIC2,HOXC11,ZIC2
HNSC_vs_STAD,SCARA5_WNT2,SCARA5,WNT2
HNSC_vs_STAD,TNXB_WNT2,TNXB,WNT2
HNSC_vs_STAD,TRPM2-AS_ZIC5,TRPM2-AS,ZIC5
